,plx-4720
ACH-000534,1
ACH-001498,0
ACH-000545,1
ACH-001617,1
ACH-000470,0
ACH-001443,0
ACH-000981,0
ACH-001642,1
ACH-000652,0
ACH-001400,1
ACH-000660,1
ACH-001549,0
ACH-001442,0
ACH-001542,1
ACH-001702,0
ACH-000958,0
ACH-001334,1
ACH-001638,0
ACH-000318,0
ACH-001497,1
ACH-000437,1
ACH-001653,1
ACH-000716,0
ACH-000677,0
ACH-000469,1
ACH-000991,1
ACH-001328,1
ACH-001344,0
ACH-001530,0
ACH-000567,1
ACH-001016,0
ACH-001402,0
ACH-001650,0
ACH-000484,1
ACH-000516,1
ACH-001106,1
ACH-001517,0
ACH-000949,1
ACH-000439,0
ACH-001336,0
ACH-000917,0
ACH-000489,0
ACH-000002,1
ACH-001525,0
ACH-001715,0
ACH-000649,0
ACH-000970,1
ACH-001494,0
ACH-000626,0
ACH-000271,1
ACH-001368,0
ACH-001345,1
ACH-001711,0
ACH-000719,0
ACH-000568,1
ACH-001674,0
ACH-000778,1
ACH-001360,0
ACH-000611,1
ACH-000910,0
ACH-000688,1
ACH-000452,1
ACH-001274,1
ACH-000704,0
ACH-001654,0
ACH-000583,1
ACH-000935,1
ACH-000332,0
ACH-000976,1
ACH-000428,1
ACH-001193,1
ACH-001341,0
ACH-000362,1
ACH-000556,0
ACH-000915,1
ACH-001374,1
ACH-000948,0
ACH-001655,1
ACH-000371,1
ACH-000421,0
ACH-000714,1
ACH-001333,1
ACH-000244,0
ACH-000874,1
ACH-000684,0
ACH-000858,1
ACH-001332,0
ACH-000365,1
ACH-000896,0
ACH-000449,1
ACH-001529,0
ACH-000769,0
ACH-001500,1
ACH-000667,0
ACH-000793,0
ACH-000809,0
ACH-000863,1
ACH-000334,1
ACH-001401,1
ACH-000905,1
ACH-000855,1
ACH-000681,1
ACH-000674,0
ACH-000335,1
ACH-000631,0
ACH-000943,1
ACH-000336,0
ACH-001399,0
ACH-001496,0
ACH-000806,1
ACH-000432,1
ACH-000552,1
ACH-000750,1
ACH-000601,0
ACH-001418,0
ACH-000997,1
ACH-000711,0
ACH-000656,1
ACH-000411,1
ACH-001086,1
ACH-000566,1
ACH-000105,1
ACH-000633,1
ACH-000749,1
ACH-000361,1
ACH-000337,0
ACH-000528,0
ACH-000827,1
ACH-000878,0
ACH-000213,0
ACH-000754,1
ACH-000971,1
ACH-000148,1
ACH-000367,0
ACH-000722,0
ACH-000650,1
ACH-000450,1
ACH-000384,0
ACH-000212,0
ACH-000569,1
ACH-000581,1
ACH-000417,0
ACH-000680,0
ACH-000599,0
ACH-000046,1
ACH-000979,0
ACH-000653,1
ACH-000263,1
ACH-000938,1
ACH-000572,1
ACH-000547,1
ACH-000914,1
ACH-000171,0
ACH-001526,1
ACH-000311,1
ACH-000983,1
ACH-000045,1
ACH-000023,0
ACH-000755,0
ACH-000768,0
ACH-001307,0
ACH-000738,1
ACH-000433,0
ACH-000752,0
ACH-000380,1
ACH-000751,1
ACH-000881,0
ACH-000987,0
ACH-000430,1
ACH-000953,1
ACH-000061,1
ACH-000053,1
ACH-000153,0
ACH-000832,1
ACH-000120,0
ACH-000481,1
ACH-000668,1
ACH-000403,0
ACH-000438,0
ACH-000906,1
ACH-000763,1
ACH-000926,1
ACH-000201,0
ACH-000113,1
ACH-000124,1
ACH-000096,0
ACH-000059,0
ACH-000496,1
ACH-000663,1
ACH-000678,1
ACH-000315,0
ACH-000222,0
ACH-000605,0
ACH-000654,1
ACH-000245,1
ACH-000988,0
ACH-000932,0
ACH-000190,0
ACH-000288,0
ACH-000794,1
ACH-000176,0
ACH-000326,1
ACH-000018,1
ACH-000218,1
ACH-001306,1
ACH-000488,1
ACH-000596,0
ACH-000232,0
ACH-000828,0
ACH-000294,1
ACH-000463,0
ACH-000320,0
ACH-000295,1
ACH-000852,0
ACH-000960,0
ACH-000400,1
ACH-000934,0
ACH-000558,0
ACH-000804,0
ACH-000968,0
ACH-000187,0
ACH-000880,0
ACH-000386,0
ACH-000139,0
ACH-000825,0
ACH-000609,0
ACH-000301,1
ACH-000090,0
ACH-000625,1
ACH-000338,1
ACH-000174,0
ACH-000330,0
ACH-000853,0
ACH-000188,0
ACH-000323,0
ACH-000847,1
ACH-000535,1
ACH-000810,0
ACH-000007,0
ACH-000919,0
ACH-000383,1
ACH-000672,0
ACH-000544,0
ACH-000478,0
ACH-000571,1
ACH-000108,0
ACH-000448,0
ACH-000178,1
ACH-000989,0
ACH-000155,0
ACH-000927,0
ACH-000106,1
ACH-000657,1
ACH-000957,0
ACH-000104,1
ACH-000824,1
ACH-000798,0
ACH-000047,0
ACH-000242,0
ACH-000865,0
ACH-000522,1
ACH-000555,0
ACH-000135,1
ACH-001373,0
ACH-000577,0
ACH-000748,0
ACH-000329,0
ACH-000859,1
ACH-000693,1
ACH-000696,1
ACH-000396,0
ACH-000757,0
ACH-000074,1
ACH-000259,1
ACH-000620,0
ACH-000913,1
ACH-000655,0
ACH-000911,1
ACH-000424,1
ACH-000226,1
ACH-000356,0
ACH-000006,1
ACH-000009,0
ACH-000200,1
ACH-000580,1
ACH-000270,0
ACH-000505,0
ACH-000838,1
ACH-000973,0
ACH-000287,1
ACH-000359,0
ACH-000614,1
ACH-000846,1
ACH-000472,1
ACH-000204,0
ACH-000861,0
ACH-000974,1
ACH-000579,1
ACH-000589,0
ACH-000092,1
ACH-000491,0
ACH-000473,0
ACH-000894,1
ACH-000258,1
ACH-000963,0
ACH-000247,1
ACH-000554,0
ACH-000070,1
ACH-000357,1
ACH-000849,1
ACH-000788,1
ACH-000303,0
ACH-000250,0
ACH-000706,0
ACH-000510,0
ACH-000986,0
ACH-000936,0
ACH-000607,1
ACH-000277,0
ACH-000355,1
ACH-000281,0
ACH-000730,1
ACH-000506,0
ACH-000883,1
ACH-000966,1
ACH-000425,1
ACH-000004,1
ACH-000304,1
ACH-000956,0
ACH-000848,0
ACH-000574,0
ACH-000060,0
ACH-000843,1
ACH-000236,1
ACH-000072,1
ACH-000147,0
ACH-000815,0
ACH-000030,0
ACH-000817,0
ACH-000617,0
ACH-000691,0
ACH-000207,1
ACH-000198,1
ACH-000724,1
ACH-000162,1
ACH-000985,1
ACH-000886,1
ACH-000725,0
ACH-000019,0
ACH-000322,1
ACH-000821,0
ACH-000343,1
ACH-000756,1
ACH-000551,1
ACH-000524,0
ACH-000183,1
ACH-000020,1
ACH-000493,0
ACH-000193,0
ACH-000944,1
ACH-000651,0
ACH-000857,0
ACH-000267,1
ACH-000727,0
ACH-000464,0
ACH-000082,0
ACH-000784,0
ACH-000048,1
ACH-000094,0
ACH-000219,1
ACH-000595,0
ACH-000826,1
ACH-000363,0
ACH-000530,0
ACH-000918,1
ACH-000856,0
ACH-000376,1
ACH-000235,0
ACH-000869,0
ACH-000679,0
ACH-000075,0
ACH-000065,1
ACH-000622,0
ACH-000613,0
ACH-000248,0
ACH-000538,1
ACH-000375,1
ACH-000145,0
ACH-000587,0
ACH-000951,1
ACH-000616,0
ACH-000662,0
ACH-000369,1
ACH-000648,0
ACH-000360,0
ACH-000353,1
ACH-000812,1
ACH-000892,0
ACH-000995,1
ACH-000243,1
ACH-000273,1
ACH-000639,0
ACH-000893,1
ACH-000803,0
ACH-000922,1
ACH-000056,1
ACH-000819,1
ACH-000811,0
ACH-000151,0
ACH-000138,1
ACH-000379,0
ACH-000101,1
ACH-000227,0
ACH-000875,0
ACH-000882,1
ACH-000374,0
ACH-000501,0
ACH-000532,0
ACH-000627,1
ACH-000767,1
ACH-000902,0
ACH-000879,0
ACH-000977,0
ACH-000078,0
ACH-000293,0
ACH-000740,0
ACH-000001,0
ACH-000431,0
ACH-000823,1
ACH-000965,1
ACH-000168,0
ACH-000570,1
ACH-000947,0
ACH-000054,1
ACH-000562,0
ACH-000347,0
ACH-000129,0
ACH-000024,1
ACH-000873,0
ACH-000745,0
ACH-000559,0
ACH-000800,0
ACH-000885,1
ACH-000441,1
ACH-000118,0
ACH-000476,1
ACH-000132,1
ACH-000814,1
ACH-000573,0
ACH-000217,0
ACH-000420,1
ACH-000998,0
ACH-000149,0
ACH-000346,1
ACH-000486,1
ACH-000903,0
ACH-000747,1
ACH-000929,0
ACH-000759,0
ACH-000770,1
ACH-000465,1
ACH-000146,0
ACH-000830,0
ACH-000615,1
ACH-000211,1
ACH-000729,0
ACH-000585,1
ACH-000265,0
ACH-000816,1
ACH-000876,1
ACH-000698,0
ACH-000035,0
ACH-000373,1
ACH-000563,0
ACH-000999,0
ACH-000392,0
ACH-000647,0
ACH-000252,0
ACH-000945,0
ACH-000410,1
ACH-000233,1
ACH-000508,0
ACH-000102,1
ACH-000636,1
ACH-000482,0
ACH-000527,0
ACH-000637,0
ACH-000115,0
ACH-000900,0
ACH-000098,0
ACH-000802,1
ACH-000805,1
ACH-000619,0
ACH-000638,0
ACH-000015,1
ACH-000416,0
ACH-000381,0
ACH-000012,1
ACH-000969,0
ACH-000291,0
ACH-000792,0
ACH-000840,0
ACH-000962,1
ACH-000776,1
ACH-000720,0
ACH-000890,0
ACH-000423,1
ACH-000930,1
ACH-000401,1
ACH-000822,1
ACH-000081,1
ACH-000475,1
ACH-000231,1
ACH-000670,0
ACH-000257,1
ACH-000940,1
ACH-000372,1
ACH-000210,1
ACH-000718,0
ACH-000584,0
ACH-000787,1
ACH-001075,0
ACH-000665,1
ACH-000955,0
ACH-000841,0
ACH-000008,1
ACH-000073,0
ACH-000699,1
ACH-000643,1
ACH-000298,0
ACH-000378,1
ACH-000950,1
ACH-000480,0
ACH-000703,0
ACH-000586,0
ACH-000290,1
ACH-000350,0
ACH-000457,1
ACH-000641,1
ACH-000939,0
ACH-000980,0
ACH-000447,0
ACH-000521,0
ACH-000358,1
ACH-000309,1
ACH-000504,0
ACH-000536,1
ACH-000783,0
ACH-000099,0
ACH-000348,1
ACH-000669,0
ACH-000408,0
ACH-000818,0
ACH-000644,1
ACH-000697,1
ACH-000249,0
ACH-000429,1
ACH-000366,1
ACH-000924,0
ACH-000091,0
ACH-000937,1
ACH-000442,0
ACH-000780,0
ACH-000866,0
ACH-000191,1
ACH-000100,1
ACH-000189,0
ACH-000260,0
ACH-000040,0
ACH-000610,0
ACH-000733,0
ACH-000440,0
ACH-001190,0
ACH-000391,0
ACH-000666,0
ACH-000223,0
ACH-000443,0
ACH-000786,1
ACH-000136,0
ACH-000142,0
ACH-000689,1
ACH-000107,0
ACH-000518,0
ACH-000269,1
ACH-000264,1
ACH-000835,1
ACH-000702,1
ACH-000282,1
ACH-000546,0
ACH-000067,1
ACH-000117,0
ACH-000628,0
ACH-000221,0
ACH-000790,1
ACH-000451,0
ACH-000292,0
ACH-000867,0
ACH-000087,1
ACH-000159,0
ACH-000062,0
ACH-000276,0
ACH-000055,1
ACH-000781,1
ACH-000111,0
ACH-000888,0
ACH-000121,0
ACH-000483,0
ACH-000871,0
ACH-000717,0
ACH-000565,0
ACH-000186,0
ACH-000192,1
ACH-000895,1
ACH-000042,0
ACH-000789,1
ACH-000050,0
ACH-000354,0
ACH-000254,0
ACH-000395,0
ACH-000116,0
ACH-000157,1
ACH-000621,0
ACH-000308,0
ACH-000694,1
ACH-000038,0
ACH-000169,0
ACH-000743,0
ACH-000427,0
ACH-000238,1
ACH-000640,1
ACH-000548,1
ACH-000161,1
ACH-000860,1
ACH-000560,1
ACH-000434,1
ACH-000456,1
ACH-000341,1
ACH-000021,0
ACH-000058,1
ACH-000775,0
ACH-000364,0
ACH-000624,1
ACH-000414,0
ACH-000352,0
ACH-000349,0
ACH-000319,1
ACH-000181,0
ACH-000137,1
ACH-000766,1
ACH-000389,1
ACH-000920,1
ACH-000351,0
ACH-000394,0
ACH-000744,0
ACH-000114,0
ACH-000795,1
ACH-000103,0
ACH-000144,0
ACH-000514,0
ACH-000864,0
ACH-000305,0
ACH-000603,0
ACH-000916,0
ACH-000978,0
ACH-000561,1
ACH-000052,1
